epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2187,3.25124,6.03336,2.34103,0.03,0.00487,0.01564,0.00413,3.2245,4.65222,2.1507,0.0883,0.0013,0.0013
2,36.2146,2.6095,2.64729,1.77204,0.36311,0.32468,0.31849,0.11861,2.47261,2.46799,1.63127,0.0756733,0.00267327,0.00267327
3,51.613,2.22876,1.93237,1.46157,0.50024,0.42045,0.41982,0.16713,2.37813,1.88974,1.38546,0.0630188,0.00401882,0.00401882
4,66.6236,2.0921,1.83067,1.37839,0.59957,0.4035,0.49085,0.22489,2.10989,2.19734,1.34664,0.0503367,0.00533665,0.00533665
5,82.1667,1.98044,1.71432,1.30561,0.55857,0.44968,0.4856,0.17864,2.2265,2.61351,1.34864,0.0376268,0.00662676,0.00662676
6,97.3529,2.0546,1.68485,1.33193,0.50618,0.3961,0.39733,0.17311,2.24814,3.29465,1.43355,0.0248891,0.00788915,0.00788915
7,111.818,2.11981,1.75704,1.37306,0.30975,0.14448,0.13231,0.04393,2.97463,12.4056,2.00825,0.0121238,0.00912382,0.00912382
8,126.648,2.07051,1.6969,1.35798,0.52165,0.44481,0.44363,0.1274,2.50137,4.45929,1.54624,0.009307,0.009307,0.009307
9,141.303,2.01064,1.63903,1.33205,0.45783,0.375,0.34359,0.08772,2.68743,9.34659,1.64407,0.009208,0.009208,0.009208
10,156.152,1.90786,1.56502,1.26457,0.48737,0.42532,0.39764,0.12495,2.54029,7.7554,1.54414,0.009109,0.009109,0.009109
11,170.705,1.88517,1.47416,1.2624,0.52694,0.43037,0.40617,0.1169,2.60273,4.69446,1.58801,0.00901,0.00901,0.00901
12,186.677,1.91104,1.48604,1.27561,0.57019,0.4781,0.49748,0.20573,2.27133,2.54625,1.37436,0.008911,0.008911,0.008911
13,201.643,1.87998,1.3569,1.26225,0.64323,0.46916,0.54643,0.20497,2.35997,2.87562,1.42062,0.008812,0.008812,0.008812
14,217.253,1.82306,1.39207,1.24955,0.63296,0.56656,0.6231,0.28576,1.90538,1.83084,1.22545,0.008713,0.008713,0.008713
15,232.395,1.83914,1.33195,1.23656,0.67204,0.56818,0.63854,0.26814,2.12253,2.2708,1.3044,0.008614,0.008614,0.008614
16,247.727,1.8127,1.32342,1.22048,0.59179,0.46104,0.49897,0.16945,2.51547,2.94329,1.54107,0.008515,0.008515,0.008515
17,262.807,1.82071,1.31229,1.21713,0.65109,0.55032,0.63863,0.2911,2.08063,1.42521,1.26564,0.008416,0.008416,0.008416
18,278.163,1.74627,1.28698,1.20136,0.67939,0.59091,0.64068,0.30361,1.95168,1.58657,1.25965,0.008317,0.008317,0.008317
19,292.91,1.75019,1.26103,1.20263,0.70316,0.56006,0.64038,0.31468,1.98769,1.46781,1.26519,0.008218,0.008218,0.008218
20,308.47,1.71652,1.24784,1.19002,0.70853,0.60552,0.68349,0.3502,1.82036,1.44316,1.1962,0.008119,0.008119,0.008119
21,323.397,1.74414,1.23256,1.19352,0.63693,0.66071,0.68941,0.34446,1.9203,1.27773,1.22883,0.00802,0.00802,0.00802
22,338.989,1.69324,1.20361,1.16962,0.74,0.57955,0.68199,0.36027,1.78217,1.32017,1.21177,0.007921,0.007921,0.007921
23,353.355,1.69149,1.20629,1.18112,0.72708,0.57953,0.66038,0.304,1.98659,1.62447,1.24562,0.007822,0.007822,0.007822
24,368.09,1.66401,1.16911,1.15814,0.66375,0.60886,0.66575,0.35046,1.84732,1.56702,1.22337,0.007723,0.007723,0.007723
25,383.7,1.63083,1.15195,1.14597,0.61875,0.64286,0.6707,0.33473,1.94429,1.46167,1.24182,0.007624,0.007624,0.007624
